Rank,Release Group,Worldwide,Domestic,%,Foreign,%
82,Poly,"$5,232,011",-,-,"$5,232,011",100%
83,Son of Morning,"$5,075,369",-,-,"$5,075,369",100%
84,Luca,"$5,000,000",-,-,"$5,000,000",100%
85,Red,"$4,920,261",-,-,"$4,920,261",100%
86,Palma,"$4,826,877",-,-,"$4,826,877",100%
87,Mobile Suit Gundam: Hathaway,"$4,777,893",-,-,"$4,777,893",100%
88,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
89,Separation,"$4,509,143","$4,509,143",100%,-,-
90,Prababushka lyogkogo povedeniya,"$4,508,907",-,-,"$4,508,907",100%
91,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
92,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
93,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
94,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
95,Dream Horse,"$4,274,699","$2,672,265",62.5%,"$1,602,434",37.5%
96,Voyagers,"$4,272,263","$3,149,935",73.7%,"$1,122,328",26.3%
97,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
98,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
99,Seobok,"$4,119,613",-,-,"$4,119,613",100%
100,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
101,The Mauritanian,"$4,072,381","$836,536",20.5%,"$3,235,845",79.5%
102,Karnan,"$3,817,585",-,-,"$3,817,585",100%
103,Wrong Turn,"$3,777,969","$1,251,184",33.1%,"$2,526,785",66.9%
104,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
105,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
106,Son of Morning 2021 Re-release,"$3,491,793",-,-,"$3,491,793",100%
107,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
108,Finding You,"$3,303,663","$2,735,462",82.8%,"$568,201",17.2%
109,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
110,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
111,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
112,Land,"$2,953,228","$2,577,830",87.3%,"$375,398",12.7%
113,Here Today,"$2,785,942","$2,785,942",100%,-,-
114,Long Story Short,"$2,717,948",-,-,"$2,717,948",100%
115,Recalled,"$2,696,945",-,-,"$2,696,945",100%
116,The Book of Fish,"$2,682,886",-,-,"$2,682,886",100%
117,High Ground,"$2,414,117",-,-,"$2,414,117",100%
118,Character,"$2,347,015",-,-,"$2,347,015",100%
119,Roohi,"$2,306,525",-,-,"$2,306,525",100%
120,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
121,Fly Me Away,"$2,238,089",-,-,"$2,238,089",100%
122,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
123,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
124,Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,"$2,085,581",-,-,"$2,085,581",100%
125,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
126,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
127,The House Next Door: Meet the Blacks 2,"$2,015,287","$2,015,287",100%,-,-
128,Mandibles,"$1,923,978",-,-,"$1,923,978",100%
129,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
130,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
131,Radhe,"$1,896,253",-,-,"$1,896,253",100%
132,Profile,"$1,756,073","$1,744,740",99.4%,"$11,333",0.6%
133,Boss Level,"$1,736,352",-,-,"$1,736,352",100%
134,Calamity Jane,"$1,734,956",-,-,"$1,734,956",100%
135,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
136,Josep,"$1,592,590",-,-,"$1,592,590",100%
137,Minamata,"$1,581,314",-,-,"$1,581,314",100%
138,French Exit,"$1,559,180","$737,802",47.3%,"$821,378",52.7%
139,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
140,Tempting Hearts,"$1,530,000",-,-,"$1,530,000",100%
141,La La Land 2020 Re-release,"$1,499,170",-,-,"$1,499,170",100%
142,El Exorcismo de Carmen Farías,"$1,474,579",-,-,"$1,474,579",100%
143,Ainbo,"$1,459,660",-,-,"$1,459,660",100%
144,Together Together,"$1,431,429","$1,431,429",100%,-,-
145,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
146,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
147,I Care a Lot,"$1,288,436",-,-,"$1,288,436",100%
148,Abominable 2021 Re-release,"$1,260,243","$110,000",8.7%,"$1,150,243",91.3%
149,12 Mighty Orphans,"$1,255,729","$1,255,729",100%,-,-
150,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
151,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
152,The Last Frontier,"$1,234,447",-,-,"$1,234,447",100%
153,Cousins,"$1,198,697",-,-,"$1,198,697",100%
154,Supernova,"$1,181,535","$234,220",19.8%,"$947,315",80.2%
155,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
156,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
157,Crisis,"$1,122,326","$404,738",36.1%,"$717,588",63.9%
158,In the Earth,"$1,113,723","$1,113,723",100%,-,-
159,Super Me,"$1,100,000",-,-,"$1,100,000",100%
160,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
161,Kakegurui the Movie: Zettai Zetsumei Russian Roulette,"$1,084,503",-,-,"$1,084,503",100%
162,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
163,Gekijouban Bang Dream! Episode of Roselia: Promise,"$1,060,631",-,-,"$1,060,631",100%
164,In the Mood for Love 2020 Re-release,"$1,049,643",-,-,"$1,049,643",100%
165,Chacun chez soi,"$1,036,686",-,-,"$1,036,686",100%
166,Pipeline,"$1,036,532",-,-,"$1,036,532",100%
167,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
168,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
169,Cosmic Sin,"$1,020,003",-,-,"$1,020,003",100%
170,Long Weekend,"$1,018,532","$1,018,532",100%,-,-
171,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
172,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
173,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$987,411",-,-,"$987,411",100%
174,The Seventh Day,"$962,908",-,-,"$962,908",100%
175,The Box,"$960,915",-,-,"$960,915",100%
176,Maya the Bee 3: The Golden Orb,"$945,615",-,-,"$945,615",100%
177,Zoya,"$944,885",-,-,"$944,885",100%
178,The Vault,"$942,581",-,-,"$942,581",100%
179,Queen Bees,"$926,331","$926,331",100%,-,-
180,The United States vs. Billie Holiday,"$901,545",-,-,"$901,545",100%
181,The Truffle Hunters,"$879,010","$420,671",47.9%,"$458,339",52.1%
182,Home Front,"$868,124",-,-,"$868,124",100%
183,Four Good Days,"$837,849","$837,849",100%,-,-
184,Dynasty Warriors,"$829,947",-,-,"$829,947",100%
185,The Speech,"$816,443",-,-,"$816,443",100%
186,Villa Caprice,"$767,320",-,-,"$767,320",100%
187,The Last Journey of Paul W. R.,"$759,096",-,-,"$759,096",100%
188,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
189,The Bad Poet,"$733,812",-,-,"$733,812",100%
190,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
191,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
192,Our Friend,"$663,725","$663,725",100%,-,-
193,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
194,Music,"$645,949",-,-,"$645,949",100%
195,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
196,The Hobbit: The Desolation of Smaug 2021 Re-release,"$640,658",-,-,"$640,658",100%
197,My Salinger Year,"$614,724","$54,730",8.9%,"$559,994",91.1%
198,Chungking Express 2020 Re-release,"$606,979",-,-,"$606,979",100%
199,Kongsuni The Movie: Toy World Adventure,"$594,695",-,-,"$594,695",100%
200,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
